obsah,datum
"Dňa 22.03.2024 bola zverejnená  predbežná informácia o návrhu zákona, ktorým sa mení a dopĺňa zákon č. 73/1998 Z. z. o štátnej službe príslušníkov Policajného zboru,...[PI/Strelné zbrane a strelivo](/?ros_monitoring_aktuality&sprava=pi-strelne-zbrane-a-strelivo)",24. 03. 2024
"Dňa 22.03.2024 bola zverejnená  predbežná informácia o návrhu vyhlášky Ministerstva vnútra Slovenskej republiky, ktorou sa vykonávajú niektoré ustanovenia zákona č. 190/2003...[PI/Regulácia cien nájmu bytov vo verejnom sektore](/?ros_monitoring_aktuality&sprava=pi-regulacia-cien-najmu-bytov-vo-verejnom-sektore-1)",24. 03. 2024
Dňa 22.03.2024 bola zverejnená predbežná informácia o návrhu vyhlášky Ministerstva dopravy Slovenskej republiky o regulácii cien nájmu bytov vo verejnom sektore. Cieľom...[PI/Cestná premávka](/?ros_monitoring_aktuality&sprava=pi-cestna-premavka),24. 03. 2024
"Dňa 22.03.2024 bola zverejnená  predbežná informácia o návrhu zákona, ktorým sa mení a dopĺňa zákon č. 8/2009 Z. z. o cestnej premávke a o zmene a&nbsp...[PI/Automatická výmena informácií o finančných účtoch na účely správy daní](/?ros_monitoring_aktuality&sprava=pi-automaticka-vymena-informacii-o-financnych-uctoch-na-ucely-spravy-dani)",24. 03. 2024
"Dňa 22.03.2024 bol v MPK zverejnený návrh Všeobecnej dohody o spolupráci medzi vládou Slovenskej republiky a vládou Saudskoarabského kráľovstva. Cieľom dohody je podporovať hospodársku,...[MPK/Vyhláška Ministerstva obrany SR o požadovaných študijných odboroch a učebných odboroch stredného vzdelania, požadovaných študijných odboroch vysokoškolského vzdelania na výkon funkcie a o požadovanej odbornej spôsobilosti na výkon niektorých odborných činností v štátnej službe profesionálnych vojakov](/?ros_monitoring_aktuality&sprava=mpk-vyhlaska-ministerstva-obrany-sr-o-pozadovanych-studijnych-odboroch-a-ucebnych-odboroch-stredneho-vzdelania-pozadovanych-studijnych-odboroch-vysokoskolskeho-vzdelania-na-vykon-funkcie-a-o-pozadovanej-odbornej-sposobilosti-na-vykon-niektorych-odbor)",24. 03. 2024
"Dňa 21.03.2024 bol v MPK zverejnený návrh vyhlášky Ministerstva obrany Slovenskej republiky o požadovaných študijných odboroch a učebných odboroch stredného vzdelania, požadovaných študijných...[PI/Výška sadzby na jednu hodinu osobnej asistencie a výška peňažného príspevku na opatrovanie](/?ros_monitoring_aktuality&sprava=pi-vyska-sadzby-na-jednu-hodinu-osobnej-asistencie-a-vyska-penazneho-prispevku-na-opatrovanie)",24. 03. 2024
"Dňa 19.03.2024 bola zverejnená  predbežná informácia o návrhu nariadenia vlády Slovenskej republiky, ktorým sa ustanovuje výška sadzby na jednu...[MPK/Zriaďovanie a fungovanie európskych zamestnaneckých rád a účinné presadzovanie nadnárodných práv na informácie a konzultácie do MPK](/?ros_monitoring_aktuality&sprava=mpk-zriadovanie-a-fungovanie-europskych-zamestnaneckych-rad-a-ucinne-presadzovanie-nadnarodnych-prav-na-informacie-a-konzultacie-do-mpk)",24. 03. 2024
"Dňa 20.03.2024 bol v MPK zverejnený návrh riadneho predbežného stanoviska k návrhu smernice Európskeho parlamentu a Rady, ktorou sa mení a dopĺňa smernica...[MPK/Technické požiadavky na elektrické zariadenia a elektronické zariadenia](/?ros_monitoring_aktuality&sprava=mpk-technicke-poziadavky-na-elektricke-zariadenia-a-elektronicke-zariadenia)",24. 03. 2024
"Dňa 20.03.2024 bol v MPK zverejnený návrh vyhlášky Ministerstva životného prostredia Slovenskej republiky, ktorou sa dopĺňa vyhláška Ministerstva životného...[MPK/Využívanie kapacity železničnej infraštruktúry v jednotnom Európskom železničnom priestore](/?ros_monitoring_aktuality&sprava=mpk-vyuzivanie-kapacity-zeleznicnej-infrastruktury-v-jednotnom-europskom-zeleznicnom-priestore)",24. 03. 2024
Dňa 21.03.2024 bol v MPK zverejnený návrh nariadenia Európskeho parlamentu a Rady o využívaní kapacity železničnej infraštruktúry v jednotnom Európskom železničnom...[PI/Občiansky zákonník](/?ros_monitoring_aktuality&sprava=pi-obciansky-zakonnik),24. 03. 2024
"Dňa 15.03.2024 bola zverejnená  predbežná informácia o návrhu zákona, ktorým sa mení a dopĺňa zákon č. 40/1964 Zb. Občiansky zákonník v znení...[PI/Environmentálne overovanie a registrácie organizácií v schéme Európskej únie pre environmentálne manažérstvo a audit](/?ros_monitoring_aktuality&sprava=pi-environmentalne-overovanie-a-registracie-organizacii-v-scheme-europskej-unie-pre-environmentalne-manazerstvo-a-audit)",24. 03. 2024
